old_name,heatmap_name,new_name
SSs_11kdend_contra,SSs_11k_contra,d_1_x240_y137_z394
SSs_11kdend_ipsi,SSs_11k_ipsi,d_2_x240_y137_z62
SSs_dend_contra_2,SSs_contra_2,d_3_x256_y118_z387
SSs_dend_contra_3,SSs_contra_3,d_4_x198_y163_z388
SSs_dend_contra_5,SSs_contra_5,d_5_x232_y133_z400
SSs_dend_contra_8,SSs_contra_8,d_6_x277_y68_z378
SSs_dend_ipsi_2,SSs_ipsi_2,d_7_x256_y118_z69
SSs_dend_ipsi_3,SSs_ipsi_3,d_8_x198_y163_z68
SSs_dend_ipsi_5,SSs_ipsi_5,d_9_x232_y133_z56
SSs_dend_ipsi_8,SSs_ipsi_8,d_10_x277_y68_z78
LGd_11kdend_contra,LGd_11k_contra,d_11_x305_y128_z318
LGd_11kdend_ipsi,LGd_11k_ipsi,d_12_x305_y128_z138
LGd_dend_contra_5,LGd_contra_5,d_13_x297_y133_z323
LGd_dend_ipsi_5,LGd_ipsi_5,d_14_x297_y133_z133
SUB_11kdend_contra,SUB_11k_contra,d_15_x366_y147_z356
SUB_11kdend_ipsi,SUB_11k_ipsi,d_16_x366_y147_z100
SUB_dend_contra_4,SUB_contra_4,d_17_x348_y88_z315
SUB_dend_contra_5,SUB_contra_5,d_18_x311_y61_z244
SUB_dend_contra_7,SUB_contra_7,d_19_x316_y108_z334
SUB_dend_ipsi_4,SUB_ipsi_4,d_20_x348_y88_z141
SUB_dend_ipsi_5,SUB_ipsi_5,d_21_x311_y61_z212
SUB_dend_ipsi_7,SUB_ipsi_7,d_22_x316_y108_z122
VPL_11kdend_contra,VPL_11k_contra,d_23_x281_y178_z308
VPL_11kdend_ipsi,VPL_11k_ipsi,d_24_x281_y178_z148
VPL_dend_contra_4,VPL_contra_4,d_25_x288_y158_z316
VPL_dend_contra_5,VPL_contra_5,d_26_x273_y179_z315
VPL_dend_ipsi_4,VPL_ipsi_4,d_27_x288_y158_z140
VPL_dend_ipsi_5,VPL_ipsi_5,d_28_x273_y179_z141
SSp_11kdend_contra,SSp_11k_contra,d_29_x228_y82_z350
SSp_11kdend_ipsi,SSp_11k_ipsi,d_30_x228_y82_z106
SSp_dend_contra_1,SSp_contra_1,d_31_x185_y90_z337
SSp_dend_contra_4,SSp_contra_4,d_32_x250_y136_z352
SSp_dend_contra_5,SSp_contra_5,d_33_x196_y83_z318
SSp_dend_contra_7,SSp_contra_7,d_34_x195_y124_z364
SSp_dend_contra_9,SSp_contra_9,d_35_x168_y91_z295
SSp_dend_ipsi_1,SSp_ipsi_1,d_36_x185_y90_z119
SSp_dend_ipsi_4,SSp_ipsi_4,d_37_x250_y136_z104
SSp_dend_ipsi_5,SSp_ipsi_5,d_38_x196_y83_z138
SSp_dend_ipsi_7,SSp_ipsi_7,d_39_x195_y124_z92
SSp_dend_ipsi_9,SSp_ipsi_9,d_40_x168_y91_z161
MOp_11kdend_contra,MOp_11k_contra,d_41_x170_y94_z318
MOp_11kdend_ipsi,MOp_11k_ipsi,d_42_x170_y94_z138
MOp_dend_contra_1,MOp_contra_1,d_43_x172_y102_z323
MOp_dend_contra_2,MOp_contra_2,d_44_x216_y55_z274
MOp_dend_contra_5,MOp_contra_5,d_45_x181_y75_z290
MOp_dend_contra_6,MOp_contra_6,d_46_x215_y171_z351
MOp_dend_contra_7,MOp_contra_7,d_47_x168_y62_z304
MOp_dend_ipsi_1,MOp_ipsi_1,d_48_x172_y102_z133
MOp_dend_ipsi_2,MOp_ipsi_2,d_49_x216_y55_z182
MOp_dend_ipsi_5,MOp_ipsi_5,d_50_x181_y75_z166
MOp_dend_ipsi_6,MOp_ipsi_6,d_51_x215_y171_z105
MOp_dend_ipsi_7,MOp_ipsi_7,d_52_x168_y62_z152
ILA_11kdend_contra,ILA_11k_contra,d_53_x146_y148_z241
